low, high , selection0_bin0_pdf, selection0_bin0_cdf, selection0_bin1_pdf, selection0_bin1_cdf, selection0_bin2_pdf, selection0_bin2_cdf, selection0_bin3_pdf, selection0_bin3_cdf, selection0_bin4_pdf, selection0_bin4_cdf, selection0_bin5_pdf, selection0_bin5_cdf, selection1_bin0_pdf, selection1_bin0_cdf, selection1_bin1_pdf, selection1_bin1_cdf, selection1_bin2_pdf, selection1_bin2_cdf, selection1_bin3_pdf, selection1_bin3_cdf, selection1_bin4_pdf, selection1_bin4_cdf, selection1_bin5_pdf, selection1_bin5_cdf
-0.064000,-0.062000,0.259523,0.001961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349650,0.000699,0.000000,0.000000,0.548093,0.007870,0.347464,0.001946,0.221190,0.000885,0.000000,0.002356,0.231803,0.000927,0.451671,0.001807
-0.062000,-0.060000,0.115344,0.002192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000699,0.000000,0.000000,0.662620,0.009195,0.347464,0.002641,0.331785,0.001548,0.000000,0.002356,0.000000,0.000927,0.000000,0.001807
-0.060000,-0.058000,0.317195,0.002826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349650,0.001399,0.000000,0.000000,0.989840,0.011175,0.347464,0.003336,0.000000,0.001548,0.000000,0.002356,0.231803,0.001391,0.000000,0.001807
-0.058000,-0.056000,0.346031,0.003518,0.110108,0.000220,0.000000,0.000000,0.451671,0.000903,0.349650,0.002098,0.000000,0.000000,0.744425,0.012663,0.416956,0.004170,0.000000,0.001548,0.294551,0.002946,0.463607,0.002318,0.000000,0.001807
-0.056000,-0.054000,0.446956,0.004412,0.220216,0.000661,0.000000,0.000000,0.225836,0.001355,0.349650,0.002797,0.000000,0.000000,0.989840,0.014643,0.416956,0.005003,0.552975,0.002654,0.736377,0.004418,0.695410,0.003709,0.451671,0.002710
-0.054000,-0.052000,0.374867,0.005162,0.220216,0.001101,0.355240,0.000710,0.000000,0.001355,0.349650,0.003497,0.000000,0.000000,1.374323,0.017392,0.416956,0.005837,0.221190,0.003097,0.294551,0.005007,0.000000,0.003709,0.451671,0.003613
-0.052000,-0.050000,0.519046,0.006200,0.770755,0.002643,0.177620,0.001066,0.451671,0.002258,0.000000,0.003497,0.000000,0.000000,1.243435,0.019879,0.972898,0.007783,0.774165,0.004645,0.589102,0.006186,0.463607,0.004636,0.000000,0.003613
-0.050000,-0.048000,0.879495,0.007959,0.220216,0.003083,0.177620,0.001421,0.000000,0.002258,0.349650,0.004196,0.566893,0.001134,1.357962,0.022595,0.625434,0.009034,0.995355,0.006636,0.736377,0.007658,0.231803,0.005100,0.000000,0.003613
-0.048000,-0.046000,0.706479,0.009372,0.220216,0.003523,0.355240,0.002131,0.000000,0.002258,0.000000,0.004196,0.000000,0.001134,1.873333,0.026341,0.903405,0.010841,0.221190,0.007078,1.325479,0.010309,2.318034,0.009736,1.806685,0.007227
-0.046000,-0.044000,0.764151,0.010900,0.660647,0.004845,0.355240,0.002842,0.225836,0.002710,0.000000,0.004196,0.566893,0.002268,1.587016,0.029515,1.389854,0.013621,0.331785,0.007742,0.736377,0.011782,0.231803,0.010199,1.355014,0.009937
-0.044000,-0.042000,0.749733,0.012399,0.770755,0.006386,0.532860,0.003908,0.225836,0.003162,0.349650,0.004895,0.566893,0.003401,1.897875,0.033311,1.945796,0.017512,0.995355,0.009732,1.914580,0.015611,0.695410,0.011590,0.451671,0.010840
-0.042000,-0.040000,0.908331,0.014216,0.770755,0.007928,0.710480,0.005329,0.000000,0.003162,1.398601,0.007692,0.000000,0.003401,2.061485,0.037434,1.181376,0.019875,1.327140,0.012387,2.209131,0.020029,0.695410,0.012981,0.903342,0.012647
-0.040000,-0.038000,1.369705,0.016956,0.330324,0.008588,1.065719,0.007460,0.903342,0.004968,1.398601,0.010490,1.133787,0.005669,2.454148,0.042342,1.389854,0.022655,1.327140,0.015041,1.178203,0.022386,1.159017,0.015299,0.000000,0.012647
-0.038000,-0.036000,1.239943,0.019435,0.550540,0.009689,0.355240,0.008171,1.806685,0.008582,0.349650,0.011189,0.000000,0.005669,2.732285,0.047807,2.293259,0.027241,0.663570,0.016368,1.472754,0.025331,2.781641,0.020862,0.451671,0.013550
-0.036000,-0.034000,1.124600,0.021685,0.220216,0.010130,2.841918,0.013854,0.903342,0.010388,0.349650,0.011888,0.566893,0.006803,2.650480,0.053108,2.084781,0.031411,1.548330,0.019465,1.914580,0.029161,0.695410,0.022253,0.000000,0.013550
