Axis,Line Label,X,Y,Marker,Marker Size,Marker Face Color,Marker Edge Color
Axes 1,$69.3 < \lambda \leq 140$,-148.99482164328657,0.018674784701701887,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-145.3901082164329,0.020265673297693475,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-141.7853947895792,0.02189079381027557,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-138.18068136272547,0.02353286965211283,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-134.57596793587174,0.025177151868582343,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-130.97125450901802,0.02681280118501674,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-127.36654108216436,0.028433975152284473,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-123.76182765531064,0.03004055539970689,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-120.15711422845692,0.03163849850446996,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-116.5524008016032,0.03323984109977638,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-112.94768737474953,0.03486242811697801,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-109.34297394789581,0.036529454745298014,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-105.7382605210421,0.03826891121302428,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-102.13354709418837,0.040112991742262696,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-98.52883366733465,0.042097477920116116,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-94.92412024048099,0.0442610428435692,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-91.31940681362727,0.04664436353940291,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-87.71469338677355,0.04928889709198087,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-84.10997995991988,0.05223519044269183,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-80.5052665330661,0.055520665672911085,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-76.90055310621244,0.059176947276370705,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-73.29583967935878,0.06322695329595471,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-69.691126252505,0.06768212122442045,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-66.08641282565134,0.07254023873583389,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-62.48169939879756,0.07778436061497356,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-58.876985971943895,0.0833831963300109,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,-55.27227254509023,0.08929315315445997,None,6.0,#FFA600,#FFA600
